Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,1000,trimmed_mean,1,0.078
10,50,3,0,0,1000,trimmed_mean,2,0.114
10,50,3,0,0,1000,trimmed_mean,3,0.109
10,50,3,0,0,1000,trimmed_mean,4,0.109
10,50,3,0,0,1000,trimmed_mean,5,0.1
10,50,3,0,0,1000,trimmed_mean,6,0.109
10,50,3,0,0,1000,trimmed_mean,7,0.1
10,50,3,0,0,1000,trimmed_mean,8,0.109
10,50,3,0,0,1000,trimmed_mean,9,0.1
10,50,3,0,0,1000,trimmed_mean,10,0.1
10,50,3,0,0,1000,trimmed_mean,11,0.1
10,50,3,0,0,1000,trimmed_mean,12,0.109
10,50,3,0,0,1000,trimmed_mean,13,0.109
10,50,3,0,0,1000,trimmed_mean,14,0.1
10,50,3,0,0,1000,trimmed_mean,15,0.109
10,50,3,0,0,1000,trimmed_mean,16,0.109
10,50,3,0,0,1000,trimmed_mean,17,0.1
10,50,3,0,0,1000,trimmed_mean,18,0.1
10,50,3,0,0,1000,trimmed_mean,19,0.1
10,50,3,0,0,1000,trimmed_mean,20,0.114
10,50,3,0,0,1000,trimmed_mean,21,0.114
10,50,3,0,0,1000,trimmed_mean,22,0.109
10,50,3,0,0,1000,trimmed_mean,23,0.1
10,50,3,0,0,1000,trimmed_mean,24,0.1
10,50,3,0,0,1000,trimmed_mean,25,0.1
10,50,3,0,0,1000,trimmed_mean,26,0.1
10,50,3,0,0,1000,trimmed_mean,27,0.1
10,50,3,0,0,1000,trimmed_mean,28,0.1
10,50,3,0,0,1000,trimmed_mean,29,0.109
10,50,3,0,0,1000,trimmed_mean,30,0.114
10,50,3,0,0,1000,trimmed_mean,31,0.1
10,50,3,0,0,1000,trimmed_mean,32,0.114
10,50,3,0,0,1000,trimmed_mean,33,0.1
10,50,3,0,0,1000,trimmed_mean,34,0.109
10,50,3,0,0,1000,trimmed_mean,35,0.1
10,50,3,0,0,1000,trimmed_mean,36,0.108
10,50,3,0,0,1000,trimmed_mean,37,0.1
10,50,3,0,0,1000,trimmed_mean,38,0.108
10,50,3,0,0,1000,trimmed_mean,39,0.1
10,50,3,0,0,1000,trimmed_mean,40,0.109
10,50,3,0,0,1000,trimmed_mean,41,0.109
10,50,3,0,0,1000,trimmed_mean,42,0.1
10,50,3,0,0,1000,trimmed_mean,43,0.109
10,50,3,0,0,1000,trimmed_mean,44,0.109
10,50,3,0,0,1000,trimmed_mean,45,0.1
10,50,3,0,0,1000,trimmed_mean,46,0.087
10,50,3,0,0,1000,trimmed_mean,47,0.109
10,50,3,0,0,1000,trimmed_mean,48,0.093
10,50,3,0,0,1000,trimmed_mean,49,0.087
10,50,3,0,0,1000,trimmed_mean,50,0.1
10,50,3,1,0,1000,trimmed_mean,1,0.078
10,50,3,1,0,1000,trimmed_mean,2,0.202
10,50,3,1,0,1000,trimmed_mean,3,0.314
10,50,3,1,0,1000,trimmed_mean,4,0.36
10,50,3,1,0,1000,trimmed_mean,5,0.379
10,50,3,1,0,1000,trimmed_mean,6,0.367
10,50,3,1,0,1000,trimmed_mean,7,0.379
10,50,3,1,0,1000,trimmed_mean,8,0.388
10,50,3,1,0,1000,trimmed_mean,9,0.391
10,50,3,1,0,1000,trimmed_mean,10,0.4
10,50,3,1,0,1000,trimmed_mean,11,0.409
10,50,3,1,0,1000,trimmed_mean,12,0.41
10,50,3,1,0,1000,trimmed_mean,13,0.401
10,50,3,1,0,1000,trimmed_mean,14,0.423
10,50,3,1,0,1000,trimmed_mean,15,0.418
10,50,3,1,0,1000,trimmed_mean,16,0.43
10,50,3,1,0,1000,trimmed_mean,17,0.44
10,50,3,1,0,1000,trimmed_mean,18,0.442
10,50,3,1,0,1000,trimmed_mean,19,0.424
10,50,3,1,0,1000,trimmed_mean,20,0.427
10,50,3,1,0,1000,trimmed_mean,21,0.432
